,id,name,address.street,address.city,address.zipCode,address.county,DAY0_OPEN,DAY0_CLOSE,DAY1_OPEN,DAY1_CLOSE,DAY2_OPEN,DAY2_CLOSE,DAY3_OPEN,DAY3_CLOSE,DAY4_OPEN,DAY4_CLOSE,DAY5_OPEN,DAY5_CLOSE,DAY6_OPEN,DAY6_CLOSE,match_address,match_name
0,8245,1st Quality Market,2655 Nicollet Ave,MINNEAPOLIS,55408,HENNEPIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1548,52 MARKET  AND TRADING,990 ARCADE ST,SAINT PAUL,55106,RAMSEY,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,"990 Arcade St, St Paul, MN 55106, United States",52 Market & Trading
2,8782,75 Market and Deli,1187 Minnehaha Ave E ,SAINT PAUL,55106,RAMSEY,830,1800,830,1900,830,1900,830,1900,830,1900,830,1900,830,1900,"1187 Minnehaha Ave E, St Paul, MN 55106, United States",75 Market
3,8685,7th Grocery,43 7th St W,SAINT PAUL,55102,RAMSEY,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,"43 7th St W, St Paul, MN 55102, United States",7th Grocery
4,8875,A A Market,191 Western Ave N,SAINT PAUL,55102,RAMSEY,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,"191 Western Ave N # 1, St Paul, MN 55102, United States",AA Market
5,8552,Aaran Halal Market,8904 Old Cedar Ave S,BLOOMINGTON,55425,HENNEPIN,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,"8904 Old Cedar Ave S, Bloomington, MN 55425, United States",Aaran Halal Market
6,8379,Africa International Market,7617 Welcome Ave N,BROOKLYN PARK,55443,HENNEPIN,900,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,2030,"7617 Welcome Ave N, Brooklyn Park, MN 55443, United States",AFRICA INTERNATIONAL MARKET
7,8783,African Halal & Deli,405 E Lake St ,MINNEAPOLIS,55408,HENNEPIN,1000,1600,900,1900,900,1900,900,1900,900,1900,900,1900,900,1800,"405 E Lake St, Minneapolis, MN 55408, United States",African Safari Meat Market
8,8624,African Plaza,555 Snelling Ave N ,SAINT PAUL,55104,RAMSEY,930,1900,930,1900,930,1900,930,1900,930,1900,930,1900,930,1900,"555 Snelling Ave N, St Paul, MN 55104, United States",Star Food Market
9,341,AFRIK GROCERY,613 CEDAR AVE S,MINNEAPOLIS,55454,HENNEPIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"613 Cedar Ave, Minneapolis, MN 55454, United States",Afrik Grocery
10,7902,AIN-U-SHAMS,"131 Litchfield Ave SW, Suite 101",WILLMAR,56201,KANDIYOHI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,8672,Ainushams Halal Foods,123 W Lake St,MINNEAPOLIS,55408,HENNEPIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"123 W Lake St, Minneapolis, MN 55408, United States",Ainushams Halal Foods
12,8618,Alif Halal Market,"1501 Riverwood Dr, Suite 180 ",BURNSVILLE,55337,DAKOTA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1501 Riverwood Dr #180, Burnsville, MN 55337, United States",Alif Halal
13,5336,AL & LAURA'S FOODS,309 N Mill St,FERTILE,56540,POLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"309 N Mill St, Fertile, MN 56540, USA",309 N Mill St
14,8390,Almadina Grocery Market,1001 E Franklin Ave,MINNEAPOLIS,55404,HENNEPIN,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,"1001 E Franklin Ave, Minneapolis, MN 55404, United States",Almadina Halal
15,8971,Almich's Market,2525 20th Street,SLAYTON,56172,MURRAY,900,1700,800,2000,800,2000,800,2000,800,2000,800,2000,800,1900,"2525 20th St, Slayton, MN 56172, United States",Jim's Market
16,8755,Almich's Market,34 E Center Ave,CLARA CITY,56222,CHIPPEWA,630,1900,630,2000,630,2000,630,2000,630,2000,630,2000,630,2000,"34 East Center Ave W, Clara City, MN 56222, United States",Almich Market
